1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0.78374,0.47582,-0.25681,0.98867,1,0.73947,0.81979,0.71429,1,0,-1,0.41667,0.62143,0.40748,0.40362,0.090034,-0.574,0.10784,0.44018,-0.071466,-0.048293,-0.13096,-0.36209,0.12712,0.20057,-0.11999,-0.02101,-0.08485,0.74873,0.68673,0.77457,0.18155,0.1289,0.21323,0.057525,0.55988,0.11405,0.11814,0.031659,0.10641,0.76014,0.96745,-0.26823,0.50732,0.88788,0.94435,-0.3687,0.62086,0.95258,0.068407,-0.34272,-0.23267,0.25761,0.50065,0.71261,0.58234,0.99902,0.087105,0.2493,0.63847,0.96481,0.1755,0.43202,0.91107,0.19302,0.57835,0.087492,0.15182,0.2596,0.61517,v
0.87019,0.18958,-0.018028,0.78446,1,0.89289,1,1,1,0,-0.79579,0,0.65661,0.20345,0.36448,0.87996,-0.36579,-0.67573,0.59057,-0.21079,-1,-0.16802,-0.1676,-0.77805,0.86476,-0.23765,-0.96104,-0.3234,0.88435,0.82373,0.33625,0.59331,-0.3135,0.78201,-0.37694,0.26599,-0.51543,0.55342,-0.35638,0.28571,0.87184,0.74541,-0.018284,0.19628,0.9573,0.48879,-0.016884,0.16137,0.68994,0.00027715,-0.0078808,-0.01491,0.033621,0.18208,0.72225,0.6983,0.59018,0.069533,0.062976,0.6951,0.27986,0.068274,0.043652,0.48917,0.097419,0.16949,0.049994,0.017523,0.045372,0.61006,v
0.83493,0.48374,-0.073346,0.94963,1,0.75789,0.50863,1,1,0,-0.79968,0,0.64564,0.44935,0.15782,0.41224,-0.59739,0.024808,0.44727,-0.16843,-0.22774,-0.41236,-0.40337,0.018638,0.44451,-0.18569,-0.22263,-0.35747,0.84376,0.7805,0.28797,0.34528,0.26513,-0.14885,-0.54656,0.73122,0.32974,-0.11943,-0.25939,0.41012,0.86133,0.93437,-0.077029,0.51861,0.95108,0.77739,-0.09025,0.54096,0.86972,0.0049789,-0.088791,-0.063166,0.23757,0.48381,0.72161,0.74631,0.89123,0.032649,0.26743,0.69918,0.5913,0.045467,0.30832,0.68973,0.018324,0.25796,0.028859,0.15961,0.21807,0.57547,v
0.64052,0.51154,-0.1218,0.75837,1,0.75079,1,0.71429,1,0,-0.62421,0,0.41806,0.48858,0.20097,0.45154,-0.5032,-0.10415,0.029422,0.13104,-0.93736,0.13398,-0.28509,-0.071057,0.024625,0.17,-1,0.13717,0.66622,0.62361,0.049886,0.30681,0.078721,-0.66444,0.015861,0.4604,0.074266,-0.52401,0.0080073,0.25475,0.6847,0.75122,-0.12878,0.55211,0.73456,0.63213,-0.15261,0.58247,0.67937,0.017507,-0.19881,-0.10261,0.33873,0.50043,0.54149,0.50617,0.66797,0.050474,0.29956,0.47541,0.4937,0.050734,0.35487,0.52157,0.046417,0.52811,0.029848,0.29442,0.22843,0.39343,v
0.68097,0.40053,-0.12041,0.86397,0.92586,0.77032,0.599,0.71429,1,0,-1,0,0.47325,0.36116,0.1877,0.44678,-0.4752,-0.029944,0.32702,-0.38275,-0.51388,-0.25332,-0.24628,-0.021005,0.28967,-0.41258,-0.46885,-0.24932,0.74574,0.73438,0.24982,0.23695,-0.41621,0.21955,0.13266,0.0045901,-0.36714,0.13082,0.056879,0.0022202,0.75924,0.84781,-0.12612,0.42825,0.77364,0.72609,-0.15211,0.45983,0.72823,0.015142,-0.13619,-0.09544,0.18378,0.36867,0.54166,0.56232,0.79807,0.027482,0.24774,0.50379,0.6299,0.033375,0.34007,0.59156,0.043846,0.25683,0.018064,0.10409,0.19126,0.39946,v
0.74948,0.15864,-0.043643,0.87794,1,0.81042,0.613,0.71429,1,0,-0.83958,0,0.49122,0.16697,0.17234,0.38434,-0.28053,0.084338,0.049138,-0.11735,0.45591,-0.47808,-0.10072,0.057757,0.041129,-0.082417,0.26232,-0.41818,0.80837,0.84333,0.27162,0.55996,0.30328,0.74375,-0.94672,0.553,0.41899,0.46323,-0.59793,0.38138,0.80877,0.84663,-0.044922,0.16669,0.83675,0.67973,-0.050789,0.16779,0.73837,0.0018033,-0.017725,-0.034515,0.02614,0.1457,0.59484,0.55627,0.71597,0.033548,0.06313,0.46665,0.52622,0.027284,0.066684,0.50207,0.017041,0.060816,0.019882,0.0116,0.041816,0.34545,v
0.79748,0.029126,-0.097149,0.7864,1,0.35653,0.82411,0.71429,1,0,-0.65789,0,0.5499,0.015099,0.19794,0.31985,-0.19897,0.068123,0.097136,-0.4124,0.1925,-0.43296,-0.022727,0.052898,0.078476,-0.093338,0.030385,-0.37024,0.73339,0.80874,0.32459,0.56254,0.40398,0.17167,-0.22187,0.84782,0.59187,0.032227,-0.15052,0.53463,0.74302,0.76793,-0.10126,0.03099,0.90158,0.60872,-0.11303,0.030798,0.78549,0.0099737,-0.0080853,-0.091248,0.0009834,0.031769,0.75171,0.68082,0.71822,0.035176,0.0020972,0.6845,0.42613,0.035583,0.0018393,0.59959,0.032447,0.0035759,0.026216,4.26E-05,0.0017479,0.60701,v
0.80229,0.3104,-0.16059,0.9593,1,0.63263,1,0.85714,1,0,-1,0,0.68861,0.18432,0.39138,0.93851,-0.5473,-0.24032,0.11246,-0.21187,-0.034156,0.013369,-0.24443,-0.29364,0.17416,-0.2356,-0.032267,0.027537,0.85321,0.74178,0.21829,0.40377,-0.26477,0.4365,0.053055,0.55418,-0.36776,0.24255,0.042879,0.50715,0.85709,0.92884,-0.16596,0.32747,0.89934,0.77202,-0.19425,0.34125,0.82158,0.023227,-0.1214,-0.12933,0.095196,0.29031,0.64841,0.69945,0.89903,0.040451,0.05044,0.68814,0.64523,0.061163,0.062423,0.7435,0.081213,0.16422,0.037098,0.01994,0.046372,0.62498,v
0.73404,0.51633,-0.19201,0.96847,1,0.60053,0.377,1,1,0,-0.93205,0,0.58876,0.40552,0.19234,0.61908,-0.58197,-0.096701,-0.37711,-0.40225,-0.199,0.28084,-0.35647,-0.076592,-0.43857,-0.46511,-0.22647,0.32936,0.83944,0.73092,0.19989,0.32535,-0.20931,-0.079275,0.52661,0.83278,-0.24131,-0.058652,0.26782,0.55562,0.86398,0.96074,-0.20331,0.5581,0.84304,0.81938,-0.24418,0.59676,0.79025,0.03458,-0.25143,-0.14733,0.2743,0.46009,0.56523,0.67503,0.87535,0.060949,0.29902,0.57354,0.63502,0.081602,0.39413,0.61986,0.048575,0.2559,0.034968,0.13718,0.21989,0.43298,v
0.77044,0.66396,-0.18639,0.98163,1,0.60116,0.42879,0.85714,1,0,-0.70168,0,0.76074,0.49488,0.16194,0.43285,-0.64063,0.043266,-0.036021,0.23149,-0.38759,-0.20211,-0.49276,0.035743,-0.039819,0.27131,-0.40745,-0.18187,0.83607,0.72704,1,0.32885,0.19261,-0.42853,0.034007,0.82564,0.25377,-0.35213,0.015955,0.46308,0.86192,0.97539,-0.19768,0.71885,0.88629,0.84658,-0.24161,0.78222,0.84548,0.032768,-0.31563,-0.15096,0.45615,0.6245,0.62622,0.67782,0.89753,0.055138,0.47739,0.61263,0.66564,0.073512,0.65092,0.67446,0.03644,0.2026,0.040847,0.20445,0.39867,0.48996,v
0.78587,0.73204,-0.16506,1,1,0.74426,0.38395,1,1,0,-0.49247,0,0.76842,0.65029,0.10028,0.65713,-0.63113,-0.036512,0.091749,0.16279,-0.44333,-0.2204,-0.55928,-0.023856,0.12559,0.17211,-0.65825,-0.19229,0.73924,0.71538,0.91851,0.28393,0.11724,-0.50409,-0.23193,0.58959,0.14425,-0.4412,-0.079566,0.37859,0.76696,1,-0.17618,0.79762,0.90983,1,-0.24811,1,1,0.029252,-0.35078,-0.15522,0.63112,0.7994,0.74162,0.5573,1,0.041662,0.54289,0.67372,1,0.06875,1,1,0.022929,0.15696,0.031536,0.42538,0.61723,0.71743,v
