1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0.83531,0.41017,-0.29614,0.99123,1,0.73947,0.81979,0.71429,1,0,-1,0.52632,0.61765,0.23797,0.35126,0.087405,-0.6898,0.23639,0.35263,-0.060439,-0.054745,-0.32001,-0.4588,0.19478,0.21093,-0.059723,-0.010681,-0.08892,0.76855,0.68673,0.77457,0.14582,0.13258,0.19086,-0.092052,0.61697,0.093611,0.039539,-0.028394,0.1101,0.77143,1,-0.28379,0.50331,0.80377,0.57368,-0.36074,0.62247,0.48956,0.075796,-0.22778,-0.23856,0.18483,0.40447,0.41777,0.58498,1,0.075208,0.17051,0.53073,0.32581,0.13225,0.38387,0.22007,0.056487,0.13249,0.078912,0.030895,0.17388,0.14388,v
0.90205,0.15304,-0.25842,0.70309,1,0.89289,1,1,1,0,-1,0,0.67227,0.097399,0.99066,0.87463,-0.43072,-0.21736,0.44173,-0.33109,-0.70265,0.34504,-0.19121,-0.31378,0.872,-0.3515,-0.27743,0.50931,0.73586,0.82373,0.055442,0.76701,-0.30039,0.69106,0.25377,0.54937,-0.5075,0.21007,0.30148,0.71127,0.77771,0.74685,-0.26075,0.19772,0.91393,0.31741,-0.24555,0.18116,0.41238,0.063473,-0.081555,-0.24723,0.028294,0.17922,0.53578,0.56686,0.576,0.3932,0.058842,0.66079,0.11695,0.27885,0.052758,0.17243,1,0.22056,0.36294,0.0040294,0.04712,0.24882,v
0.88951,0.39115,-0.37867,0.9128,1,0.75789,0.50863,1,1,0,-1,0,0.64429,0.24292,0.37421,0.4901,-0.6981,0.29363,0.21473,-0.012598,-0.076386,0.40792,-0.47914,0.25505,0.31063,-0.012982,-0.035655,0.27702,0.8006,0.7805,0.19708,0.43013,0.11527,0.067753,0.60693,0.91535,0.14277,0.024357,0.33186,0.66434,0.81138,0.92978,-0.36639,0.4846,0.8642,0.47153,-0.41171,0.52982,0.46531,0.12012,-0.26921,-0.31485,0.16291,0.39811,0.45918,0.58864,0.76643,0.20756,0.17048,0.55048,0.18958,0.23626,0.25481,0.17551,0.079364,0.20275,0.17088,0.034945,0.1521,0.15965,v
0.68693,0.44873,-0.13091,0.75783,1,0.75079,1,0.71429,1,0,-0.62421,0,0.414,0.29,0.162,0.41934,-0.61753,-0.2082,0.02293,0.21365,-0.7948,0.13872,-0.37122,-0.095382,0.024596,0.15827,-0.37494,0.057337,0.68022,0.62361,0.049886,0.24304,0.078352,-0.63172,0.041005,0.48487,0.058475,-0.18652,0.011089,0.24469,0.67559,0.7565,-0.12413,0.54483,0.65404,0.37489,-0.1363,0.58206,0.34411,0.016558,-0.12315,-0.096956,0.2473,0.40682,0.31587,0.47616,0.63081,0.025631,0.19913,0.38125,0.1586,0.02359,0.30965,0.12249,0.009576,0.10248,0.017744,0.068484,0.15568,0.091507,v
0.7149,0.3395,-0.32728,0.84971,0.92586,0.77032,0.599,0.71429,1,0,-1,0,0.47726,0.20455,0.31739,0.4419,-0.55255,0.16764,0.27904,-0.30827,-0.37496,0.25696,-0.29952,0.11542,0.3299,-0.26846,-0.1525,0.1526,0.73543,0.73438,0.14318,0.24545,-0.32598,0.26317,0.84048,0.19377,-0.2625,0.065581,0.31972,0.10088,0.73572,0.85436,-0.31258,0.4152,0.68561,0.43907,-0.35594,0.46001,0.37409,0.096419,-0.21701,-0.23502,0.13189,0.29843,0.31873,0.49121,0.72717,0.13539,0.16339,0.38197,0.20405,0.18912,0.29978,0.13754,0.064765,0.15417,0.10256,0.023863,0.13094,0.090383,v
0.79169,0.25993,-0.83169,0.82672,1,0.97363,0.613,0.71429,1,0,-1,0,0.49871,0.15211,0.67783,0.50428,-0.51637,0.53402,-0.1718,-0.8016,0.44958,0.57092,-0.24674,0.54925,-0.2218,-0.87973,0.16844,0.52931,0.69729,0.84333,0.00045977,0.70634,0.19281,0.071399,0.9158,0.78387,0.26924,0.026028,0.86363,0.73952,0.71205,0.8485,-0.81083,0.32448,0.77502,0.44747,-0.94747,0.36891,0.43393,0.67035,-0.45456,-0.71204,0.083228,0.2724,0.42081,0.45727,0.66971,0.77596,0.12542,0.41452,0.20305,1,0.19838,0.16043,0.66517,0.40347,0.66166,0.014055,0.10169,0.12374,v
0.87061,0.06457,-0.47945,0.75127,1,0.45047,0.90884,0.71429,1,0,-1,0,0.58006,0.020653,0.43515,0.36547,-0.35383,0.30045,-0.12357,-1,0.29899,-0.02436,-0.06719,0.26703,-0.14647,-0.32401,0.03514,-0.015405,0.62217,0.80874,0.0013863,0.654,-0.0015721,0.33115,0.44685,0.86604,-0.0022781,0.042803,0.32489,0.66929,0.64587,0.78384,-0.47517,0.081942,0.8664,0.421,-0.56549,0.09488,0.49405,0.25381,-0.074164,-0.51428,0.0058515,0.084781,0.57978,0.45892,0.62932,0.35467,0.0058678,0.59179,0.17788,0.3996,0.0077303,0.21924,0.22682,0.016404,0.40185,0.00014996,0.0066649,0.26531,v
0.81275,0.23831,-0.67986,0.90221,1,0.63263,1,0.85714,1,0,-1,0,0.68006,0.09289,0.73662,0.95536,-0.58712,0.048753,0.14929,-0.070997,0.067809,0.75171,-0.25601,0.061042,0.3098,-0.063473,0.027326,1,0.75857,0.74178,0.0028483,0.59488,0.10851,0.51272,0.98381,0.7486,0.16238,0.13404,0.8876,0.89209,0.77088,0.92151,-0.65961,0.29606,0.79179,0.4875,-0.77319,0.33766,0.44472,0.40976,-0.31164,-0.54661,0.063999,0.23454,0.4057,0.54744,0.75401,0.58878,0.038679,0.46584,0.21697,0.80756,0.061062,0.17932,0.54225,0.10085,0.50824,0.0043486,0.034235,0.14642,v
0.7815,0.44962,-0.30897,0.96478,1,0.60053,0.377,1,1,0,-1,0,0.57626,0.23655,0.2594,0.58446,-0.7111,0.063694,-0.33277,-0.41606,-0.15692,0.32967,-0.45549,0.043563,-0.49717,-0.35225,-0.078929,0.20355,0.84214,0.73092,0.19967,0.2977,-0.18636,-0.030004,0.79409,0.83614,-0.1816,-0.0088552,0.30076,0.55133,0.84234,0.96992,-0.29505,0.54979,0.74936,0.49425,-0.33315,0.60399,0.40542,0.075034,-0.23691,-0.21178,0.20198,0.37724,0.33256,0.61028,0.82199,0.11417,0.2005,0.44935,0.2115,0.14273,0.35661,0.14824,0.034792,0.11396,0.077082,0.031469,0.15595,0.10098,v
0.82603,0.5846,-0.17244,0.98137,1,0.60116,0.42879,0.85714,1,0,-0.70168,0,0.75631,0.29486,0.1259,0.40335,-0.78525,0.048532,-0.033898,0.35497,-0.32838,-0.19665,-0.64334,0.026492,-0.048199,0.23375,-0.15319,-0.070273,0.85624,0.72704,1,0.26008,0.22891,-0.41501,0.02189,0.86783,0.23886,-0.12781,0.0053986,0.44432,0.85249,0.98204,-0.16391,0.71153,0.78841,0.50065,-0.18515,0.78202,0.42673,0.022881,-0.1683,-0.1223,0.33427,0.50755,0.36374,0.64446,0.85131,0.030951,0.32055,0.49047,0.21337,0.035976,0.56909,0.15696,0.0077238,0.040217,0.024818,0.048986,0.27135,0.1122,v
