1,2,3,4,5,6,7
-14243.7112,-9707.3905,-3795.368,7814.9056,-1749.7608,-0.6257,v
288325.3424,-10735.1788,12032.5721,3095.0447,-1220.6748,0.59778,v
263034.0073,-8999.0996,15564.4042,3331.9537,-2096.8741,0.0058281,v
233528.3014,-10563.9301,9979.1277,3375.833,-1617.5954,-0.28154,v
215559.0674,-13535.9975,-1436.5028,3280.5145,-944.2182,-1.3913,v
217604.0785,-17588.0658,-27467.3356,3067.7822,64.6155,-0.63756,v
308205.5539,16468.7123,53314.8363,2713.4501,4810.7227,0.18835,v
285683.2468,-5703.8197,23304.5163,3102.891,-626.5959,0.0071486,v
260704.3854,-13232.7705,2992.0464,3227.8863,-913.7908,-0.071591,v
236870.2162,-16007.1623,-11347.3688,3278.7233,-426.5464,-0.11006,v
214643.6821,-16981.9099,-20641.198,3358.2753,-1088.3178,-0.012486,v
192310.6734,-13725.6106,-4338.2827,3305.1798,655.4725,-0.03284,v
171417.6292,-5551.4596,20809.3439,3439.6131,-2058.3793,-0.36657,v
166061.8625,-7275.3648,16054.4515,3303.0434,-2176.0834,-0.72921,v
212431.5349,-2565.8112,28463.308,7548.9667,2222.8644,0.035148,v
189091.0872,-15959.81,-16403.6689,7763.4528,940.6361,-0.0064538,v
165002.0595,-17311.9578,-57309.7594,7949.924,208.9472,-0.017677,v
-26090.3721,-9938.5478,-5824.3685,8409.6151,-1128.6497,-1.4871,v
-27293.3536,-9289.9176,-3238.6746,8292.6989,-947.4235,-0.17632,v
-477883.9609,-1786.0549,-8573.7585,-32067.2795,-3186.321,-0.0086303,v
370205.9863,-18284.4041,-12671.3211,-726.1682,-373.4346,0.14562,v
343780.9959,-11991.4516,10855.3882,-623.4557,-434.9748,0.2888,v
306246.4456,-1784.371,30293.4378,-553.928,-948.2633,-0.039175,v
263826.7395,4270.8376,40603.8587,-577.3978,-2086.7505,-0.057366,v
220254.8645,4330.3092,41392.8212,-805.4102,-1279.9011,0.0026323,v
175493.4955,-10172.4187,7518.6746,-1245.1007,1481.6738,-0.066798,v
132229.9164,-16142.149,-24238.6758,-1454.0612,-862.2332,-0.16824,v
97204.8287,-11509.67,-2674.1872,-1778.139,-299.1736,-0.54058,v
-240787.8582,18147.5796,63646.9028,8067.9508,951.1336,-0.0038164,v
-398509.3344,-4070.9576,-11682.2122,14149.6633,586.4582,-0.53569,v
-142474.7212,-6548.7912,-1146.6623,-12613.1563,-3374.0908,-1.1135,v
-66185.1517,-7821.7888,-305.0491,-11457.1354,-3354.0504,-0.39264,v
202936.1962,-910.6172,31489.878,3127.1752,4676.1251,0.01752,v
171623.1275,7157.0902,46401.4502,3281.232,2438.897,-0.063904,v
142838.3941,-13973.1238,-10077.5531,3242.6103,1749.3638,-0.13888,v
117777.5365,-15904.4916,-24226.394,3271.9235,-87.7219,-0.24148,v
98077.3604,-11276.6824,-1476.8427,3263.6929,-1123.3489,-0.243,v
91489.9387,-11293.6702,-1997.594,3161.261,-1652.0977,-0.60655,v
104562.9019,-10213.4226,3035.3289,2997.2259,-1028.701,-0.083874,v
-158551.9062,-10950.2196,-22730.4674,14714.7228,-747.7897,-0.0010979,v
-343949.2889,-4761.6369,-10178.5808,16248.6378,1459.2524,0.2116,v
109826.5165,-6515.7866,15506.9517,8033.0109,-2114.3988,-0.44872,v
180376.2399,-17806.8536,-45827.1625,2278.9417,-1546.637,0.10564,v
197342.3687,-17461.1744,-29382.7813,-2044.2271,366.4031,0.32946,v
206845.5912,-12379.4224,2156.5197,-10389.558,-996.7331,0.77185,v
212898.6113,-7711.7824,16844.5525,-13662.3782,-3379.7806,-1.7831,v
295216.247,-14803.453,-671.9443,2852.0163,1460.8359,-0.043671,v
283249.6477,-18215.0845,-27595.3772,3040.2043,-1309.5794,-0.21356,v
274189.6642,-18127.1737,-34558.7416,3061.2797,-1049.9964,-0.60285,v
272463.7088,-17073.6936,-14717.2168,2919.1183,733.3328,-1.0604,v
