1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0.20281,0.826,-0.092879,0.83333,0.20281,0.676,0.054945,0.71429,0.20281,0,-0.064103,0.83333,4.62E-32,0.35136,0.0091404,0,1.19E-15,1.73E-15,NaN,-0.44428,NaN,NaN,2.02E-31,2.18E-31,0,-0.19666,0,0,0.63308,0.67228,0.55117,0.58285,4.03E-15,-0.87523,0.30697,NaN,2.09E-30,-0.70807,0.040483,0,0.40079,0.67174,-0.089325,0.59477,0.1356,0.69444,-0.13932,1,0.20281,0.0086265,-0.19235,-0.018837,0.68227,0.54567,0.041133,0.16666,0.42706,0.010794,0.48052,0.018213,0.48225,0.026336,1,0.034575,0.00013178,0.050629,0.00047012,0.87174,0.15941,0.0016919,v
0.94906,0,0.10625,0.68056,1,0,0.087912,1,0.50335,0,-0.051282,0,0.079812,0,0.012642,1,NaN,-0.12147,0.6277,NaN,NaN,-0.13198,0,-0.023256,0.73759,0,0,-0.12586,0.88112,0.88232,0.87568,0.016912,-0.2471,NaN,0.41172,-0.75199,-0.028819,0,0.010877,-0.27457,0.77638,0.76352,0.14221,0,0.88318,0.46316,0.13015,0,0.77507,0.011288,0,0.10083,0,0,0.90071,0.60322,0.99947,0.024009,0,0.81222,0.83523,0.03848,0,1,0.00018592,0,0.012851,0,0,0.93003,v
0.55617,0,0.14704,0.097222,1,0,0.12088,1,0.20281,0,0.012821,0,0.84789,0,0.016748,0.31429,NaN,-0.44229,0.42758,NaN,NaN,-0.19351,0,-0.31768,0.91808,0,0,-0.11908,0.8833,0.88232,0.8876,0.0051112,0.94199,NaN,-0.041106,0.35717,0.19686,0,-0.00068719,0.040192,0.78021,0.10934,0.1973,0,0.51883,0.0094522,0.025732,0,0.064886,0.02162,0,0.081778,0,0,0.30932,0.60511,0.031649,0.047991,0,0.36482,0.0040916,0.0029377,0,0.018445,0.00073136,0,0.012174,0,0,0.20524,v
0.20851,0,0.028348,0,0.42443,0,0.12088,0,0.20281,0,-0.14103,0,0.0060633,0,0.08868,0,NaN,0.21076,NaN,NaN,NaN,NaN,0,0.029457,0,0,0,0,0.87615,0.87667,0.88009,0.005833,0.32968,NaN,0.99042,NaN,0.006224,0,0.0407,0,0.76764,0,0.037731,0,0.19294,0,0,0,0,0.00080359,0,0.0059108,0,0,0.043478,0.58515,0,0.068623,0,0.034362,0,0,0,0,0.0022592,0,0.0016092,0,0,0.0017156,v
0.20281,0,-0.11155,0,0.20281,0,0.010989,0,0.20281,0,-0.14103,0,4.62E-32,0,0.02298,0,NaN,-1.16E-15,NaN,NaN,NaN,NaN,0,-2.40E-31,0,0,0,0,0.86872,0.8692,0.87244,0.0061158,-3.61E-14,NaN,0.21153,NaN,-1.93E-30,0,0.0045311,0,0.75468,0,-0.14721,0,0.18608,0,0,0,0,0.012443,0,-0.022623,0,0,0.041133,0.56558,0,0.030321,0,0.033555,0,0,0,0,0.0003542,0,0.00071682,0,0,0.0016919,v
0.20281,0,-0.15027,0.70139,0.20281,0,-0.021978,0.71429,0.20281,0,-0.11538,0,4.62E-32,0,0.0028177,0.27974,NaN,5.74E-16,4.93E-17,NaN,NaN,-0.22336,0,3.81E-32,2.33E-32,0,0,-0.053186,0.72248,0.73143,0.7196,0.022111,7.32E-15,NaN,-0.41277,0.68839,7.36E-31,0,-0.0058868,0.15201,0.52197,0.64521,-0.16492,0,0.15475,0.49195,-0.18971,0,0.1707,0.02258,0,-0.030476,0,0,0.041133,0.27034,0.50891,0.02373,0,0.023199,0.42643,0.042402,0,0.032347,0.00038693,0,0.00081142,0,0,0.0016919,v
0.20281,0.23994,-0.13828,0.28472,0.20281,0.381,-0.054945,0.71429,0.20281,0,-0.064103,0,4.62E-32,0.097224,0,0.47216,-1.02E-15,NaN,0,NaN,-0.8745,NaN,-9.08E-32,0,0,0,-0.73449,0,0.70627,0.71641,0.6814,0.051247,-1.19E-14,-0.95987,NaN,0.72276,-1.83E-30,-0.12112,0,0.31566,0.49882,0.25604,-0.14837,0.19275,0.15128,0.081067,-0.070869,0.09925,0.069294,0.019122,-0.083187,-0.028045,0.057572,0.15851,0.041133,0.24986,0.14234,0.019472,0.065299,0.022303,0.057882,0.010569,0.048716,0.0094184,0.00027941,0.0080964,0.00069262,0.015563,0.017744,0.0016919,v
0.26198,0,-0.3215,0.83333,0.44356,0,-0.10989,0.71429,0.20281,0,-0.17949,0.83333,0.058303,0,0.0027395,0,NaN,-0.79111,NaN,NaN,NaN,NaN,0,-0.060262,0,0,0,0,0.55328,0.55352,0.5523,0.0054382,0.69121,NaN,-0.094535,NaN,0.039072,0,-0.0006593,0,0.30612,0.58707,-0.27023,0,0.15309,0.69444,-0.48225,0,0.26198,0.10336,0,-0.084228,0,0,0.068636,0.09332,0.3196,0.059467,0,0.021601,0.48225,0.1939,0,0.054804,0.007022,0,0.0055663,0,0,0.0044291,v
0.20281,0.97089,-0.038949,0,0.20281,0.555,0.10989,0,0.20281,1,-0.11538,0,4.62E-32,0.012464,0.097361,0,3.07E-14,-1.62E-16,NaN,-0.75338,NaN,NaN,9.31E-31,-8.72E-32,0,-0.205,0,0,0.67327,0.74298,0.61164,0.59384,-3.05E-15,0.67907,-0.89899,NaN,-1.61E-30,0.10444,-0.39058,0,0.45329,0,-0.039837,0.74348,0.14421,0,0,0,0,0.001517,-0.094811,-0.0078994,0.94263,0.64139,0.041133,0.20485,0,0.042675,0.43295,0.020194,0,0,0,0,0.0025905,0.14431,0.0016722,0.52134,0.12982,0.0016919,v
0.20281,0.68556,0.20673,0.15833,0.20281,0.492,0.16484,0.28571,0.20281,0,-0.089744,0,4.62E-32,0.10202,0.064488,0.083755,-2.42E-15,-4.92E-16,-2.36E-16,-0.608,-1,0.79146,-2.12E-31,-1.96E-31,-4.66E-32,-0.3852,-0.36236,0.49333,0.59874,0.664,0.52682,0.61167,9.09E-16,0.84654,-0.80125,-1,4.55E-31,0.37804,-0.28753,-0.63549,0.35849,0.12071,0.18803,0.46687,0.12825,0.025069,0.058918,0.1577,0.038534,0.042737,0.35533,0.041927,0.46999,0.45289,0.041133,0.13044,0.028197,0.055875,0.23265,0.016114,0.0034427,0.012266,0.042825,0.0025754,0.0045904,0.16146,0.0027491,0.2405,0.087363,0.0016919,v
0.84677,0,-0.11754,0.83333,0.91311,0,0.098901,0.71429,0.46828,0,-0.19231,0.83333,0.094482,0,0.11465,0,NaN,0.68449,NaN,NaN,NaN,NaN,0,0.4294,0,0,0,0,0.89903,0.90278,0.8947,0.023886,-0.68495,NaN,-0.99403,NaN,-0.1033,0,-0.093993,0,0.80825,0.95392,-0.16053,0,0.80401,0.69444,-0.17631,0,0.84677,0.013815,0,-0.099528,0,0,0.71703,0.6501,0.84354,0.12158,0,0.68324,0.48225,0.15018,0,0.65664,0.0053655,0,0.051368,0,0,0.61126,v
0.91585,0,-0.27817,0.33333,0.97848,0,-0.043956,0.28571,0.28891,0,-0.19231,0.33333,0.093121,0,0.024883,0,NaN,-0.39851,NaN,NaN,NaN,NaN,0,-0.11562,0,0,0,0,0.32237,0.37593,0.26175,0.43828,-0.47711,NaN,0.77643,NaN,-0.30598,0,0.1465,0,0.10392,0.13682,-0.13623,0,0.31181,0.11111,-0.1669,0,0.36634,0.07738,0,-0.25476,0,0,0.83878,0.011104,0.017638,0.020665,0,0.10254,0.012346,0.031212,0,0.12065,0.0071873,0,0.076037,0,0,0.80513,v
