1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0.78033,0.16528,-0.25992,0.99123,1,0.73947,0.81979,0.71429,1,0,-1,0.33333,0.60679,0.093242,0.31796,0.067902,-0.6053,0.20829,0.35263,-0.060439,-0.050288,-0.26971,-0.16863,0.10299,0.17,-0.034416,-0.0076177,-0.08892,0.74887,0.67786,0.64043,0.14017,0.10947,0.076622,-0.092052,0.55806,0.043705,0.010429,-0.024902,0.10136,0.74951,1,-0.2476,0.16424,0.78037,0.57368,-0.2185,0.19969,0.48956,0.043399,-0.086551,-0.15672,0.022888,0.13953,0.41777,0.56092,1,0.034453,0.010283,0.491,0.32581,0.032123,0.020633,0.22007,0.026987,0.012296,0.020532,0.00062885,0.011629,0.14388,v
0.84267,0.061668,-0.22682,0.70309,1,0.89289,1,1,1,0,-1,0,0.66045,0.038163,0.89673,0.67946,-0.37796,-0.19152,0.44173,-0.33109,-0.64546,0.2908,-0.070279,-0.16591,0.7028,-0.20256,-0.19787,0.50931,0.71701,0.81309,0.04584,0.73729,-0.24803,0.27744,0.25377,0.49691,-0.23694,0.055408,0.26441,0.6548,0.7556,0.74685,-0.2275,0.064523,0.88733,0.31741,-0.14873,0.058117,0.41238,0.036343,-0.030989,-0.16241,0.0035038,0.061824,0.53578,0.54354,0.576,0.18013,0.0035488,0.61132,0.11695,0.067728,0.0028357,0.17243,0.47775,0.02047,0.094436,8.20E-05,0.0031513,0.24882,v
0.83096,0.15762,-0.33236,0.9128,1,0.75789,0.50863,1,1,0,-1,0,0.63296,0.095184,0.33873,0.38074,-0.61258,0.25873,0.21473,-0.012598,-0.070168,0.3438,-0.1761,0.13486,0.25036,-0.0074809,-0.02543,0.27702,0.7801,0.77042,0.16295,0.41346,0.09518,0.027201,0.60693,0.82794,0.066658,0.0064246,0.29105,0.6116,0.78832,0.92978,-0.31967,0.15814,0.83905,0.47153,-0.24937,0.16997,0.46531,0.068778,-0.10229,-0.20683,0.020174,0.13734,0.45918,0.56443,0.76643,0.095085,0.010282,0.50927,0.18958,0.057385,0.013696,0.17551,0.037916,0.018816,0.044461,0.00071128,0.010172,0.15965,v
0.64171,0.18082,-0.1149,0.75783,1,0.75079,1,0.71429,1,0,-0.62421,0,0.40673,0.11363,0.14664,0.32577,-0.54189,-0.18345,0.02293,0.21365,-0.73011,0.11692,-0.13644,-0.050433,0.019823,0.091208,-0.26742,0.057337,0.6628,0.61555,0.041246,0.23362,0.064695,-0.25361,0.041005,0.43857,0.0273,-0.049197,0.0097253,0.22526,0.65639,0.7565,-0.1083,0.17779,0.635,0.37489,-0.082555,0.18673,0.34411,0.009481,-0.046794,-0.063692,0.030625,0.14034,0.31587,0.45657,0.63081,0.011742,0.01201,0.35271,0.1586,0.0057297,0.016643,0.12249,0.0045749,0.0095112,0.0046168,0.0013939,0.010412,0.091507,v
0.66785,0.13681,-0.28725,0.84971,0.92586,0.77032,0.599,0.71429,1,0,-1,0,0.46887,0.080149,0.28729,0.3433,-0.48486,0.14771,0.27904,-0.30827,-0.34444,0.21656,-0.11009,0.061027,0.26589,-0.1547,-0.10877,0.1526,0.7166,0.72489,0.11839,0.23594,-0.26916,0.10565,0.84048,0.17527,-0.12255,0.017298,0.2804,0.092869,0.71481,0.85436,-0.27272,0.13549,0.66565,0.43907,-0.21559,0.14757,0.37409,0.055207,-0.082461,-0.15439,0.016332,0.10295,0.31873,0.47101,0.72717,0.062022,0.0098542,0.35337,0.20405,0.045935,0.016113,0.13754,0.030941,0.014308,0.026686,0.00048572,0.0087571,0.090383,v
0.73958,0.10474,-0.72997,0.82672,1,0.97363,0.613,0.71429,1,0,-1,0,0.48995,0.059602,0.61355,0.39175,-0.45312,0.47054,-0.1718,-0.8016,0.41299,0.48117,-0.090688,0.29041,-0.17877,-0.50695,0.12014,0.52931,0.67944,0.83243,0.00038015,0.67897,0.1592,0.028665,0.9158,0.70902,0.1257,0.0068653,0.75743,0.68081,0.69181,0.8485,-0.70744,0.10589,0.75246,0.44747,-0.57387,0.11835,0.43393,0.38383,-0.17272,-0.46775,0.010306,0.093971,0.42081,0.43847,0.66971,0.35547,0.0075644,0.38349,0.20305,0.24289,0.010663,0.16043,0.31778,0.037445,0.17216,0.00028608,0.0068012,0.12374,v
0.81331,0.026019,-0.42082,0.75127,1,0.45047,0.90884,0.71429,1,0,-1,0,0.56987,0.0080924,0.39389,0.28392,-0.31049,0.26473,-0.12357,-1,0.27465,-0.020531,-0.024695,0.14119,-0.11805,-0.18672,0.025063,-0.015405,0.60624,0.79829,0.0011462,0.62866,-0.0012981,0.13295,0.44685,0.78334,-0.0010636,0.01129,0.28494,0.61615,0.62751,0.78384,-0.41458,0.02674,0.84118,0.421,-0.34252,0.030438,0.49405,0.14533,-0.028181,-0.33784,0.00072461,0.029247,0.57978,0.44004,0.62932,0.16248,0.00035389,0.54748,0.17788,0.097058,0.0004155,0.21924,0.10836,0.0015224,0.10456,3.05E-06,0.00044574,0.26531,v
0.75925,0.096031,-0.59671,0.90221,1,0.63263,1,0.85714,1,0,-1,0,0.66811,0.036397,0.66677,0.74218,-0.5152,0.042958,0.14929,-0.070997,0.062289,0.63355,-0.094095,0.032275,0.24969,-0.036577,0.01949,1,0.73915,0.73219,0.002355,0.57183,0.089593,0.20584,0.98381,0.67711,0.07581,0.035356,0.77844,0.82127,0.74898,0.92151,-0.5755,0.096613,0.76874,0.4875,-0.46832,0.10832,0.44472,0.23462,-0.11842,-0.35908,0.0079252,0.08091,0.4057,0.52492,0.75401,0.26972,0.0023328,0.43097,0.21697,0.19615,0.0032821,0.17932,0.25906,0.0093593,0.13224,8.85E-05,0.0022896,0.14642,v
0.73006,0.18118,-0.27119,0.96478,1,0.60053,0.377,1,1,0,-1,0,0.56614,0.092686,0.2348,0.45404,-0.62399,0.056123,-0.33277,-0.41606,-0.14415,0.27784,-0.16741,0.023034,-0.4007,-0.20299,-0.056294,0.20355,0.82057,0.72147,0.1651,0.28617,-0.15387,-0.012046,0.79409,0.7563,-0.084787,-0.0023357,0.26377,0.50756,0.8184,0.96992,-0.25743,0.17941,0.72755,0.49425,-0.20179,0.19376,0.40542,0.042963,-0.090022,-0.13912,0.025012,0.13014,0.33256,0.58518,0.82199,0.052302,0.012092,0.41571,0.2115,0.034666,0.019168,0.14824,0.016622,0.010577,0.020056,0.00064052,0.01043,0.10098,v
0.77166,0.23557,-0.15135,0.98137,1,0.60116,0.42879,0.85714,1,0,-0.70168,0,0.74302,0.11553,0.11396,0.31335,-0.68906,0.042763,-0.033898,0.35497,-0.30165,-0.16574,-0.23645,0.014007,-0.038847,0.1347,-0.10926,-0.070273,0.83432,0.71764,0.82682,0.25,0.18901,-0.16661,0.02189,0.78496,0.11152,-0.033713,0.0047347,0.40904,0.82826,0.98204,-0.14301,0.23219,0.76546,0.50065,-0.11215,0.25088,0.42673,0.013101,-0.063952,-0.080342,0.041394,0.17509,0.36374,0.61796,0.85131,0.014179,0.019333,0.45375,0.21337,0.0087382,0.030589,0.15696,0.0036901,0.0037324,0.0064575,0.00099707,0.018148,0.1122,v
